exit_n,time,run
120,38.124999999998906,3
121,38.34999999999889,3
122,38.62499999999888,3
123,38.649999999998876,3
124,39.27499999999884,3
125,39.349999999998836,3
126,39.57499999999882,3
127,40.09999999999879,3
128,40.34999999999878,3
129,40.624999999998764,3
130,40.72499999999876,3
131,41.27499999999873,3
132,41.42499999999872,3
133,41.59999999999871,3
134,42.024999999998684,3
135,42.04999999999868,3
136,42.42499999999866,3
137,42.62499999999865,3
138,43.249999999998614,3
139,43.424999999998604,3
140,44.099999999998566,3
141,44.124999999998565,3
142,44.42499999999855,3
143,44.92499999999852,3
144,45.09999999999851,3
145,45.2249999999985,3
146,45.92499999999846,3
147,46.224999999998445,3
148,46.52499999999843,3
149,46.84999999999841,3
150,46.89999999999841,3
151,47.449999999998376,3
152,47.54999999999837,3
153,48.02499999999834,3
154,48.19999999999833,3
155,48.27499999999833,3
156,49.049999999998285,3
157,49.199999999998276,3
158,49.29999999999827,3
159,49.79999999999824,3
160,50.02499999999823,3
161,50.22499999999822,3
162,50.72499999999819,3
163,50.974999999998175,3
164,51.54999999999814,3
165,51.57499999999814,3
166,51.64999999999814,3
167,52.3249999999981,3
168,52.52499999999809,3
169,52.749999999998074,3
170,53.12499999999805,3
171,53.17499999999805,3
172,53.599999999998026,3
173,53.82499999999801,3
174,54.24999999999799,3
175,54.52499999999797,3
176,54.92499999999795,3
177,55.12499999999794,3
178,55.549999999997915,3
179,56.17499999999788,3
180,56.249999999997875,3
181,56.799999999997844,3
182,56.99999999999783,3
183,57.04999999999783,3
184,57.649999999997796,3
185,57.89999999999778,3
186,58.349999999997756,3
187,58.64999999999774,3
188,58.79999999999773,3
189,59.49999999999769,3
190,59.57499999999769,3
191,59.74999999999768,3
192,60.474999999997635,3
193,60.54999999999763,3
194,61.1499999999976,3
195,61.42499999999758,3
196,61.74999999999756,3
197,62.64999999999751,3
198,62.774999999997505,3
199,63.54999999999746,3
0,1.5999999999999983,4
1,2.0999999999999965,4
2,2.574999999999995,4
3,2.5999999999999948,4
4,3.4999999999999916,4
5,3.649999999999991,4
6,4.099999999999991,4
7,4.2249999999999925,4
8,4.725,4
9,4.9250000000000025,4
10,5.325000000000008,4
11,5.575000000000012,4
12,5.850000000000016,4
13,6.1250000000000195,4
14,6.600000000000026,4
15,6.700000000000028,4
16,7.325000000000037,4
17,7.375000000000037,4
18,7.850000000000044,4
19,8.025000000000047,4
20,8.525000000000054,4
21,8.575000000000054,4
22,9.050000000000061,4
23,9.125000000000062,4
24,9.775000000000071,4
25,9.800000000000072,4
26,10.35000000000008,4
27,10.650000000000084,4
28,10.975000000000088,4
29,11.300000000000093,4
30,11.500000000000096,4
31,11.675000000000098,4
32,12.000000000000103,4
33,12.325000000000108,4
34,12.375000000000108,4
35,12.900000000000116,4
36,12.975000000000117,4
37,13.750000000000128,4
38,13.87500000000013,4
39,14.125000000000133,4
40,14.475000000000138,4
41,14.65000000000014,4
42,14.850000000000144,4
43,15.35000000000015,4
44,15.35000000000015,4
45,15.550000000000153,4
46,15.95000000000016,4
47,16.250000000000146,4
48,16.67500000000012,4
49,16.70000000000012,4
50,17.175000000000093,4
51,17.475000000000076,4
52,17.525000000000073,4
53,17.975000000000048,4
54,18.12500000000004,4
55,18.250000000000032,4
56,18.700000000000006,4
57,18.97499999999999,4
58,19.449999999999964,4
59,19.69999999999995,4
60,19.799999999999944,4
61,20.524999999999903,4
62,20.674999999999894,4
63,20.92499999999988,4
64,21.29999999999986,4
65,21.399999999999853,4
66,21.44999999999985,4
67,22.024999999999817,4
68,22.17499999999981,4
69,22.3499999999998,4
70,22.899999999999768,4
71,23.04999999999976,4
72,23.22499999999975,4
73,23.39999999999974,4
74,23.674999999999724,4
75,24.024999999999704,4
76,24.42499999999968,4
77,24.849999999999657,4
