t,r,v
2.0600,0.19513184123930646,1.3041564928401028
2.0800,0.21510481747121724,0.6866288771861795
2.1000,0.2224550192113581,0.0479983291584718
2.1200,0.21712589353102094,-0.5753349113096773
2.1400,0.19977336699847492,-1.1488535560655322
2.1600,0.1717090016232017,-1.641805513985517
2.1800,0.1348079926213935,-2.028821986729823
2.2000,0.0913881567241503,-2.2911881814788315
2.2200,0.044067512709177845,-2.4177051700137455
2.2400,-0.0043909578477960105,-2.405106062881163
2.2600,-0.05123830467792706,-2.258015755096654
2.2800,-0.09389333785606178,-1.9884693343991122
2.3000,-0.1300826209646673,-1.6150285881560977
2.3200,-0.1579592663399218,-1.1615574708745413
2.3400,-0.17619446913209685,-0.6557347909108557
2.3600,-0.18403741589484696,-0.12739489095581202
2.3800,-0.1813410998160512,0.3932057656280685
2.4000,-0.16855355527346402,0.8770968765725584
2.4200,-0.14667597750767963,1.2981823200031162
2.4400,-0.11719100800051563,1.634622333039626
2.4600,-0.08196604695371909,1.8699380924525055
2.4800,-0.043137716924520286,1.9937846331766207
2.5000,-0.002984486418911646,2.0023580740451044
2.5200,0.036205071394096316,1.8984246478656597
2.5400,0.07226087579925033,1.6909805459208727
2.5600,0.10324966994578338,1.3945720526431504
2.5800,0.12757674130163285,1.0283236549640806
2.6000,0.14406579590859606,0.614736840195973
2.6200,0.152013123510563,0.17833339957529226
2.6400,0.15121374081540642,-0.2557763393862267
2.6600,0.1419588365202867,-0.663317929444629
2.6800,0.12500546959125605,-1.0221902575213715
2.7000,0.10152100126633293,-1.3136434558469468
2.7200,0.0730060880518701,-1.5232357416100628
2.7400,0.041201157103256,-1.6415217824368444
2.7600,0.0079820727287088,-1.6644415215183104
2.7800,-0.02474885178364095,-1.593396125479027
2.8000,-0.0551702553728254,-1.4350155985130841
2.8200,-0.08164156650311158,-1.2006397785840894
2.8400,-0.10278989207568355,-0.905549889573809
2.8600,-0.11757945113291021,-0.5680007581776447
2.8800,-0.12536015205670836,-0.20811356576944107
2.9000,-0.12589317716728798,0.15330484184894466
2.9200,-0.11935278803323852,0.49594783948364585
2.9400,-0.1063049199669052,0.8011334532154191
2.9600,-0.08766441958853195,1.0528060381750914
2.9800,-0.06463392468802791,1.2383624804282456
3.0000,-0.038628330143374676,1.3492615698676436
3.0200,-0.011189480933988164,1.3813884589871512
3.0400,0.016103849670920455,1.335160692107068
3.0600,0.04172551669499684,1.2153771309468542
3.0800,0.06428608680299175,1.0308254886626234
3.1000,0.08260688832481915,0.7936772790373414
3.1200,0.09578015874672137,0.518710087639429
3.1400,0.10321230915028116,0.22240564031411614
3.1600,0.10464835534510665,-0.07802227499492664
3.1800,0.10017667636335861,-0.365613546132737
3.2000,0.09021438782895637,-0.6246054845074345
3.2200,0.07547469612845045,-0.8412828584811183
3.2400,0.056918571334798045,-1.0046891882643794
3.2600,0.03569389008675986,-1.1071633340756226
3.2800,0.013065813435114449,-1.144676207391962
3.3000,-0.00965744998727424,-1.1169543643546955
3.3200,-0.031199203274424058,-1.0273895509598647
3.3400,-0.05038495369042733,-0.8827453018347975
3.3600,-0.06620538366689946,-0.6926827569378458
3.3800,-0.0778682872534913,-0.4691373784518338
3.4000,-0.08483687102105178,-0.22558570983433057
3.4200,-0.08685265596670505,0.023753619564359507
3.4400,-0.08394213021370665,0.26473798202947263
3.4600,-0.0764072371890282,0.4840915455023298
3.4800,-0.06480068793272666,0.6701251796664698
3.5000,-0.04988790904028962,0.8133471444717044
3.5200,-0.03259813618797241,0.9069333566369409
3.5400,-0.013967701070116042,0.9470348548232949
3.5600,0.004921088804037111,0.9329097983190767
3.5800,0.023001926384060054,0.8668775387833672
3.6000,0.0392838385947518,0.7541023581796036
3.6200,0.05290462485298553,0.602223790998474
3.6400,0.06317557057283694,0.42085858171364565
3.6600,0.06961517442673075,0.2210058130114323
3.6800,0.0719703078653086,0.014391290013848757
3.7000,0.07022397455632289,-0.187210358514045
3.7200,0.06458961212059242,-0.37263721493902
3.7400,0.055492634790131064,-0.5319486268175189
3.7600,0.04354061103058002,-0.6569481461535243
3.7800,0.029484068545294315,-0.7415939449993691
3.8000,0.014170387991815246,-0.7822768717793624
3.8200,-0.0015064348509260138,-0.7779542837795841
3.8400,-0.016657225387537073,-0.7301362115030158
3.8600,-0.030447347383725565,-0.6427287953889721
3.8800,-0.04214196197701809,-0.5217477902462464
3.9000,-0.05114441657698346,-0.37492186036325315
3.9200,-0.05702580481272777,-0.21121101264481856
3.9400,-0.059544288932506795,-0.040269555245942
3.9600,-0.058653389600099325,0.12811474256121946
3.9800,-0.054499089165555924,0.28457317611044197
4.0000,-0.04740622581389425,0.4206695734913779
4.0200,-0.03785524314878618,0.529347015124082
4.0400,-0.02645087040369165,0.6052846421022995
4.0600,-0.013884716546697382,0.6451470791037431
4.0800,-0.0008940469835002633,0.6477155109432419
4.1000,0.011780838411458657,0.6138964011885226
4.1200,0.023438196852928254,0.5466108054484609
4.1400,0.03345310091966723,0.45057385363034275
4.1600,0.041310312440916694,0.33197985365579497
4.1800,0.04663008047778825,0.19811333407462883
4.2000,0.049185616408138615,0.05690991658133249
4.2200,0.048911500628351236,-0.08350694602823894
4.2400,0.045902805136770974,-0.21528671417109235
4.2600,0.04040524257209198,-0.33128422957662274
4.2800,0.032797146822687445,-0.42544044802361736
4.3000,0.023564525566878408,-0.4930915603346825
4.3200,0.013270778617661584,-0.5311911730164487
4.3400,0.0025229301081318993,-0.5384355531116037
4.3600,-0.008063634056832563,-0.5152876372946023
4.3800,-0.017899904307771154,-0.46390131486738484
4.4000,-0.026455528222056567,-0.38795303726989194
4.4200,-0.03328689336590399,-0.2923928057833869
4.4400,-0.038059555911013496,-0.18313076877857215
4.4600,-0.04056391677750587,-0.06667881680480492
4.4800,-0.040723456642190285,0.050231466763861476
4.5000,-0.03859527761117644,0.16103241216175457
4.5200,-0.03436313797033801,0.2596838718262051
4.5400,-0.02832358194223231,0.3409970121669853
4.5600,-0.020866136589083085,0.4009012543482876
4.5800,-0.012448853320233046,0.4366409999167001
4.6000,-0.0035706963723825496,0.4468930886213692
4.6200,0.0052575848153320545,0.43180063613503655
4.6400,0.013542423531173197,0.3929237085090881
4.6600,0.020834624403560403,0.33311194360362284
4.6800,0.026753298427232623,0.2563084574129515
4.7000,0.03100529412712529,0.16729796822878562
4.7200,0.033399162225207106,0.07141482622624595
4.7400,0.03385302490749723,-0.02577154457894526
4.7600,0.03239608009481758,-0.11877552829817062
4.7800,0.029163835734397254,-0.20250051567180516
4.8000,0.02438751787622216,-0.27251369550534976
4.8200,0.018378410522323287,-0.32527589029739123
4.8400,0.011508147981659908,-0.3583148155458099
4.8600,0.004186178707066245,-0.37033364018055837
4.8800,-0.0031642561950401948,-0.36125058633785895
4.9000,-0.010130241150089231,-0.33216928984995675
4.9200,-0.01633204604031676,-0.28528353356385705
4.9400,-0.021443481633530884,-0.22372354274019512
4.9600,-0.025208679809455483,-0.1513541077451802
4.9800,-0.027454458458102377,-0.07253720639248395
5.0000,-0.028097702179556216,0.00812655953641439
