t,r,v
1.2800,-0.36324245921113396,0
1.3000,-0.38741637815053087,0
1.3200,-0.3891883047247367,0
1.3400,-0.369089892920863,0
1.3600,-0.32886401501281637,0
1.3800,-0.27133292826619143,0
1.4000,-0.20020963766328545,0
1.4200,-0.1198646308858847,0
1.4400,-0.03506232094543549,0
1.4600,0.04931717355016062,0
1.4800,0.12855489868822978,0
1.5000,0.19835310096160116,0
1.5200,0.25506432328561474,0
1.5400,0.29587758819090443,0
1.5600,0.3189524382818181,0
1.5800,0.3234947874912645,0
1.6000,0.3097719694397348,0
1.6200,0.2790678518323674,0
1.6400,0.23358222164035747,0
1.6600,0.1762816519197951,0
1.6800,0.11071157826706708,0
1.7000,0.04078121374030687,0
1.7200,-0.029465873621990834,0
1.7400,-0.0960822539249215,0
1.7600,-0.15543524608273082,0
1.7800,-0.20440172398453024,0
1.8000,-0.24052886656350336,0
1.8200,-0.26215279833726385,0
1.8400,-0.2684696547631819,0
1.8600,-0.25955642807872376,0
1.8800,-0.23634183941272938,0
1.9000,-0.20053027788283656,0
1.9200,-0.1544843931161495,0
1.9400,-0.10107408843444685,0
1.9600,-0.04350132752505748,0
1.9800,0.01488874166023982,0
2.0000,0.07079937075095971,0
2.0200,0.12116568484212108,0
2.0400,0.16331998811166085,0
2.0600,0.19513014481055885,0
2.0800,0.21510403547643206,0
2.1000,0.2224551874391331,0
2.1200,0.21712699355380752,0
2.1400,0.19977532775224097,0
2.1600,0.17171170393981044,0
2.1800,0.1348112765005769,0
2.2000,0.09139183081154412,0
2.2200,0.044071365473143984,0
2.2400,-0.004387145867572796,0
2.2600,-0.05123474832489028,0
2.2800,-0.09389023520096072,0
2.3000,-0.13008014224164666,0
2.3200,-0.15795754461318645,0
2.3400,-0.17619359313473498,0
2.3600,-0.18403742550686536,0
2.3800,-0.18134198430823095,0
2.4000,-0.16855525454385994,0
2.4200,-0.1466783860569376,0
2.4400,-0.11719398149230417,0
2.4600,-0.08196941080560519,0
2.4800,-0.043141276566121364,0
2.5000,-0.0029880386079908752,0
2.5200,0.03620172696234765,0
2.5400,0.0722579251777554,0
2.5600,0.10324727457915465,0
2.5800,0.12757502919577543,0
2.6000,0.14406485480779557,0
2.6200,0.15201299643948948,0
2.6400,0.15121442424295303,0
2.6600,0.14196028115223847,0
2.6800,0.12500758375563062,0
2.7000,0.10152365669935634,0
2.7200,0.07300912767532344,0
2.7400,0.041204404281554724,0
2.7600,0.007985341539113636,0
2.7800,-0.02474574590859687,0
2.8000,-0.055167485222099494,0
2.8200,-0.08163928347860289,0
2.8400,-0.10278821793393227,0
2.8600,-0.11757847150400962,0
2.8800,-0.12535991211203198,0
2.9000,-0.1258936796844573,0
2.9200,-0.11935399385076478,0
2.9400,-0.10630675078999094,0
2.9600,-0.08766676300707175,0
2.9800,-0.06463664102257394,0
3.0000,-0.03863126076043182,0
3.0200,-0.011192457492766022,0
3.0400,0.016100995555997862,0
3.0600,0.04172294394301719,0
3.0800,0.06428393603398429,0
3.1000,0.08260527417599872,0
3.1200,0.0957791638224942,0
3.1400,0.10321197983969853,0
3.1600,0.10464869974446202,0
3.1800,0.10017766446058568,0
3.2000,0.09021595379192111,0
3.2200,0.07547674258606049,0
3.2400,0.05692097536658629,0
3.2600,0.03569651057204739,0
3.2800,0.013068499316683253,0
3.3000,-0.009654851009173609,0
3.3200,-0.031196836127699676,0
3.3400,-0.0503829478691264,0
3.3600,-0.06620384617017908,0
3.3800,-0.07786729693377747,0
3.4000,-0.0848364745756663,0
3.4200,-0.08685286583559035,0
