white_y,run,final_time,final_ball_amount
43.473684210526315,4,19.3682,12
43.473684210526315,4,28.1567,8
43.473684210526315,4,39.8406,4
43.473684210526315,4,162.6791,0
43.473684210526315,5,20.564,12
43.473684210526315,5,33.7357,8
43.473684210526315,5,72.04180000000001,4
43.473684210526315,5,226.6799,0
43.473684210526315,6,21.2987,12
43.473684210526315,6,50.8954,8
43.473684210526315,6,76.3905,4
43.473684210526315,6,139.6154,0
43.473684210526315,7,29.332,12
43.473684210526315,7,39.2507,8
43.473684210526315,7,113.6895,4
43.473684210526315,7,206.7754,0
43.473684210526315,8,24.0432,12
43.473684210526315,8,60.068900000000006,8
43.473684210526315,8,85.69200000000001,4
43.473684210526315,8,386.9437,0
43.473684210526315,9,19.1851,12
43.473684210526315,9,31.300600000000003,8
43.473684210526315,9,93.3947,4
43.473684210526315,9,380.1554,0
43.473684210526315,10,12.8005,12
43.473684210526315,10,53.840500000000006,8
43.473684210526315,10,91.4753,4
43.473684210526315,10,1002.485,0
43.473684210526315,11,9.4875,12
43.473684210526315,11,17.8362,8
43.473684210526315,11,31.225,4
43.473684210526315,11,5428.6441,0
44.21052631578947,0,21.7508,12
44.21052631578947,0,43.2299,8
44.21052631578947,0,87.8344,4
44.21052631578947,0,158.59,0
44.21052631578947,1,11.5292,12
44.21052631578947,1,21.0854,8
44.21052631578947,1,67.58,4
44.21052631578947,1,229.2512,0
44.21052631578947,2,13.2838,12
44.21052631578947,2,34.160900000000005,8
44.21052631578947,2,64.6594,4
44.21052631578947,2,248.5957,0
44.21052631578947,3,19.4595,12
44.21052631578947,3,51.8,8
44.21052631578947,3,100.2917,4
44.21052631578947,3,210.2791,0
44.21052631578947,4,32.238,12
44.21052631578947,4,50.921800000000005,8
44.21052631578947,4,90.6719,4
44.21052631578947,4,170.80970000000002,0
44.21052631578947,5,18.8985,12
44.21052631578947,5,38.7057,8
44.21052631578947,5,55.2756,4
44.21052631578947,5,324.62760000000003,0
44.21052631578947,6,14.6003,12
44.21052631578947,6,36.8176,8
44.21052631578947,6,87.88130000000001,4
44.21052631578947,6,391.0557,0
44.21052631578947,7,14.8393,12
44.21052631578947,7,49.752300000000005,8
44.21052631578947,7,154.4987,4
44.21052631578947,7,378.1487,0
44.21052631578947,8,7.7016,12
44.21052631578947,8,21.9038,8
44.21052631578947,8,80.27120000000001,4
44.21052631578947,8,1201.4892,0
44.21052631578947,9,23.474400000000003,12
44.21052631578947,9,43.2384,8
44.21052631578947,9,151.5649,4
44.21052631578947,9,754.5946,0
44.21052631578947,10,13.161700000000002,12
44.21052631578947,10,30.459200000000003,8
44.21052631578947,10,54.4756,4
44.21052631578947,10,2861.7668000000003,0
44.21052631578947,11,21.778,12
44.21052631578947,11,50.5199,8
44.21052631578947,11,152.4205,4
44.21052631578947,11,9731.4218,0
44.94736842105263,0,13.8292,12
44.94736842105263,0,29.5759,8
44.94736842105263,0,46.892,4
44.94736842105263,0,147.6334,0
44.94736842105263,1,23.2566,12
44.94736842105263,1,42.5803,8
44.94736842105263,1,55.5418,4
44.94736842105263,1,119.8514,0
44.94736842105263,2,11.2462,12
